UserId,Skills,YearsOfExperience,EnglishLevel,UsersPosition
644210,"sql server, javascript, html5, css3, react.js, c#, angular, .net",10,0,Full-Stack Web Developer
646446,"english, iso 27002, portuguese, team leadership, itil foundation certified, prince2 certified, german, cloud computing, it operations, it project management",14,4,Project Manager
651083,"testing, automation, systems integration, fpga, embedded software, embedded systems",7,3,Embedded hardware+firmware+software engineer
673935,"sql, javascript, html5, bootstrap, json, css3, jira, web forms, rest api, api, entity framework, ado.net, c#, linq, git repository, ajax, jquery, git, .net",4,0,Software Developer
672985,"javascript, html5, web development, node.js, mongodb, ui, wireframe, react.js, mongoose, nosql databases, jquery",2,3,Front-End Developer
666949,"javascript, spring, mvc, bootstrap, postgresql, hibernate, spring mvc, tomcat, maven, react.js, oracle db, rest api, spring data, spring jdbc, jetty, redux, spring jpa, intellij, jsp and servlets, ajax, java",3,2,Java Developer
681391,"tdd, sql server, javascript, nhibernate, html5, bootstrap, node.js, mongodb, oracle db, soa, tfs, ASP.Net MVC, typescript, ninject, telerik, model driven architecture, entity framework, c#, multi-task, tools programmer, linq, fintech, multithreading, angular, jquery, .net",13,0,Full stack developer
660805,"docker, devops, network security, microservices, adobe audition, architecture, mind mapping, matlab, application security, telecommunication, spss, corporate finance, it operations, disaster recovery, budgetary management, kotlin, adobe marketing cloud, 70-461 - querying microsoft sql server, managing budgets, healthcare, kubernetes, computer maintenance, experience with middleware pi, credit recovery, claims, java platform, budgeting, training & mentoring, automated testing, php, golong",13,2,Backend Software Engineers
645733,"tdd, sql, javascript, laravel, node.js, mongodb, react.js, vue.js, my sql, problem solving, redux, angular, php, java, aws, react native",4,0,Full Stack & Mobile Developer
636055,"sql, ruby on rails, javascript, python, c, postgresql, software development, docker, bash script, devops, r programming, rest api, microservices, go lang, gitlab, flask, nosql, distributed systems development, kubernetes, web applications, linux, backend development, ci/cd automation, php, java, aws, google cloud, ruby, google cloud platform",7,4,Lead Software Engineer
659910,"research, facebook ads, seo, marketing, analytics, google adwords, communication, ppc",4,0,Social Media and Web Marketer
640579,"javascript, spring, c, c++, html5, bootstrap, json, postgresql, hibernate, css3, gwt, node.js, svn, tomcat, maven, react.js, gradle, ant, maven knowledge, shell script, jdbc, amazon web services, ant, elasticsearch, jetty, gradle, swing, dynamo db, cron, linux, angular, java, git, aws",16,0,Full Stack Developer
647373,"android, tdd, ddd, sql server, javascript, uml, mvc, wcf, nhibernate, html5, wpf, node.js, scala, visual studio, oracle db, orm, rest api, go lang, mobile devices, ASP.Net MVC, elasticsearch, nosql, entity framework, c#, test-driven development (tdd), ASP.Net Core, tsql, linq, .net compact framework, requirements analysis, ajax, angular, jquery, .net",13,3,Senior Developer / Architect
650527,"java sdk 1.5 1.6 1.7 and 1.8, windows and linux servers, linux, java, mba in java program",1,0,Java Developer
655491,"scrum, javascript, python, java patterns, java sdk 1.5 1.6 1.7 and 1.8, ejb, css3, mongodb, windows, svn, bash script, jenkins, mac os, oracle db, agile methodologies, tomcat server, my sql, activemq, jetty, jasper reports, application servers, jsp and servlets, java platform, linux, java, git",20,3,Java Expert and Linux Specialist
644525,"wordpress, c++, microsoft office, electronic, html5, unity 2d, after effects, game development, ilustrator, unreal engine, unreal engine blue print, blender 3d, animation, c#, game art, corel draw, photoshop, java",5,0,Game Developer
646699,"sql server, javascript, spring, html5, jsp, hibernate, jpa, tomcat, maven, glassfish server, my sql, photoshop, angular, java",5,0,Fullstack developer Java and AngularJS
639311,"javascript, html5, bootstrap, css3, adobe illustrator, adobe indesign, adobe after effects, web design responsive, ux, game development, art direction, front end, branding & identity, game design, polymer, visual design, app design, customer experience, material ui, photoshop",5,0,Senior UX Designer
656569,"wordpress, html5, bootstrap, seo, ilustrator, email marketing, photoshop, psd-2-html",9,0,Web developer & Designer
667282,"data entry, easy learning, ui/ux design, easy learning,data entry",4,0,Front-end/back-end Developer
637103,"uml, agile development methodology, data modeling and systems analysis, business and commercial writing, prototype, analytics, agile methodologies, business applications, bpm, portuguese, dashboarding, leadership, communication, business analysis, product management, project management",13,4,Business Analyst
677024,"sql server, jsf, hibernate, ejb, mongodb, design patterns, spring mvc, j2ee, web services, oracle application-plsql, spring data, microservices, e-commerce, redis, apache camel, distributed systems development, activemq, algorithms, data structures, multithreading, java, stripe",0,0,8826694752
645651,"leadership, system architect, customer management, business analysis, requirement gathering, requirements analysis, project management",16,0,Project Manager / Busines Analyst / System Analyst
672326,"azure, sql, javascript, spring, java sdk 1.5 1.6 1.7 and 1.8, microsoft office, html5, bootstrap, json, hibernate, pl/sql, j2ee, apache, jboss application server, web services, unix, oracle db, tomcat server, ms excel, git repository, web applications, ajax, multithreading, angular",7,0,Project Manager into IT industry.
677275,"ruby on rails, javascript, python, wordpress, laravel, microsoft office, english, html5, postgresql, css3, yii, windows, web services, vb6, django, microsoft word, my sql, e-commerce, woocommerce, prestashop, strategic planning, public speaking, microsoft excel, powerpoint, linux, sugar, customer service, System Administration, php, git",7,0,Head of Applications Unit
673470,"android, scrum, javascript, node.js, mongodb, data analysis, react.js, rest api, api, machine learning, redux, java, git, react native",10,2,Fullstack Software Engineer
636540,"android, primefaces, html5, postgresql, hibernate, ejb, swift, ios, mongodb, jboss, j2ee, oracle db, java web, my sql, openlayers, geoserver, cdi, php, java, jquery",8,0,Java Developer
639904,"ruby on rails, javascript, html5, ios, css3, software development, agile, product launch: planning and execution, api, heroku, rspec, test-driven development (tdd), linux, git",7,0,Senior Software Developer
637953,"uml, c, testing, mvc, json, swift, ios, design patterns, xml, oop, svn, software development, software engineering, iphone development, objective-c, mac os, prototype, programming, agile methodologies, agile project management, apple ipad, team leadership, database design, software architecture, sqlite, mobile development, communication, dependency injection di, object oriented analysis and design, secure coding, secure programming, mvvm, cocoapods, cocoa touch, xcode, consulting, mobile applications, team management, algorithms, iot, ielts band 7, team player, xctest, coredata, ios native framework, ios design patterns, application developer, object oriented design, memory management, unit testing, waterfall methodology, watchos, concurrency, requirements analysis, data structures, oops, mobile application development, ci/cd automation, git",8,3, Senior iOS Developer | Mobile Product Expert
674978,"android, sql, sql server, scrum, javascript, uml, postgresql, windows, design patterns, xml, oop, visual studio, apache, web services, j2se, software development, software engineering, subversion, agile, unix, programming, soa, agile project management, architecture, qt, mobile applications, requirements analysis, rup, web applications, linux, j2me, eclipse, php, java",15,0,Software Engineer
666735,"sql server, javascript, wcf, html5, postgresql, node.js, mongodb, asp, react.js, scss, django, typescript, pci, express.js, webpack, redux, c#, payments, saas, ASP.Net Core, nunit, jquery, .net",11,2,Senior Software Engineer
652370,"wordpress, hubspot, html5, css3, marketing, ux, wireframe, prototype, agile methodologies, logo design, social media coordinator, visual design, printing production, cms, content creator, media planning, jquery",10,0,UI/UX Designer
668579,"c, swift, ios, objective-c, openbsd",13,4,Software Engineer
681025,"android, javascript, python, agile, data analysis, entrepreneurship, process improvement, ASP.Net Core, sales and client relationship, project coordination, angular",4,0,Software Engineer
679768,"ddd, javascript, wordpress, mvc, html5, bootstrap, css3, visual basic, visual studio, web forms, oracle db, my sql, api, entity framework, ado.net, c#, linq, angular, php, jquery, .net",14,2,Fullstack .Net Developer
641226,"sql, ruby on rails, javascript, python, wordpress, zend framework, c++, css3, mongodb, windows, less / sass, gulp/grunt, svn, smarty, drupal, symphony, linux, angular, php, jquery, git",13,0,Full-stack
665569,"laravel, postgresql, web development, node.js, vue.js, express.js, graphql",2,0,Software Developer
674436,"scrum, facebook ads, google analytics, seo, marketing, adobe illustrator, digital marketing, pmbok, team leadership, workflow, branding & identity, endomarketing, google adwords, leadership, b2b, digital marketing strategies, facebook marketing, advertising, marketing strategy, marketing analytics, project 2013, trade marketing, team management, project planning, budgetary management, retail communications, scrum fundamentals certified credential, advertising planning, photoshop, project management",13,4,Advertising Project Manager
675380,"sql, python, c++, software development, docker, jira, jenkins, quality assurance, selenium, gitlab, webdev, api, ctfl foundation, nosql databases, embedded software, git",11,0,Experienced Software QA Engineer
671854,"tdd, sql server, scrum, javascript, c++, web development, css3, maven, jenkins, devops, react.js, oracle db, jee, c#, linux, ci/cd automation, angular, php, java, react native",16,2,Software Architect and Full Stack Developer
679940,"javascript, wordpress, html5, css3, facebook ads",1,4,Frontend Developer
663231,"databases, php",2,0,Programmer and Network Administrator
669097,"postgresql, mongodb, docker, openstack, oracle db, Big Data, vmware server, hadoop, chef, cassandra, kubernetes, linux",5,4,"DevOps Hadoop,Spark,Openstack,Kubernetes Expert"
666064,"english, portuguese, problem solving, spanish, teaching, sound designer, audio editing, audio processing",10,3,Sound designer / musician
660674,"javascript, spring, json, postgresql, jsf, hibernate, ejb, jpa, node.js, mongodb, jboss application server, web services, docker, jira, bash script, react.js, sqlite, grunt; gulp, linux, php, java, jquery, git",8,3,Full stack developer
673291,"python, c, postgresql, data analysis, statistics, shell script, django, dashboarding, numpy, pandas, latex, scientific computing, linux, plotly, dash",1,0,Data Scientist / Python Developer
675281,"python, postgresql, node.js, mongodb, react.js, my sql, redis, firebase, sqlite, flask, django rest, graphql",3,4,FullStack Software Developer
654355,"android, python, c++, c for microcontroller, arduino, docker, django, digital design, raspberry pi, vhdl, embedded systems, image processing, django rest, qt (c/c++), odoo",7,3,back-end developer
670203,"tdd, ruby on rails, c, c++, agile development methodology, docker, ansible, devops, go lang, continuous integration, chef, distributed systems development, rabbit mq, puppet, integration test, continuous delivery, refactoring, containerization, network protocols, php, java, git, aws",7,3,Lead Software Engineer
637159,"javascript, node.js, ionic framework, machine learning, nosql databases, project management, angular, php, java, aws, react native",6,3,Full-stack developer
666587,"windows, mac os",4,0,Producción Medios en Comunicación
672005,"sql server, wcf, html5, delphi, crystal reports, vb6, oracle db, ASP.Net MVC, devexpress, c#, php, java, .net",13,0,Architect/Principal Engineer/Sr.Developer
674398,"sql, sql server, javascript, html5, xml, web services, typescript, infragistics, ASP.Net Core, data structures, ajax, angular, jquery, .net",7,0,6  year with eCommerce and healthcare domain
680059,"ddd, azure, mvc, bootstrap, json, oop, visual studio, github, bitbucket, agile, docker, web api, iis, npm, rest api, ASP.Net MVC, mvvm, entity framework, dapper, moq .net, c#, mvp, es6, ASP.Net Core, linq, unit testing, swagger, ajax, xunit, http, angular, jquery, git, .net",5,3,Senior .NET Developer - MCP
640947,"bootstrap, 3d studio max html5, subversion (tortoisesvn), django, adobe audition, architecture, archlinux, red hat, freebsd, telecommunication, bemcss, it governance, algorithms, apache tomcat, apex, cisco wireless technologies, cms, computer maintenance, database acces, security solutions, jquery",8,0,Analyst and Developer of Systems
651667,"autocad 2d, lighting, communication, matlab, automation projects, programmer c++, retrofit, microsoft offices packages, orcad capture and layout",6,0,Electrical Engineering
677305,"azure, sql server, scrum, javascript, wcf, wpf, design patterns, xml, oop, web services, software development, rest api, c#, object oriented design",11,4,Full stack Senior .Net developer
650911,"quality assurance, problem solving, technical skills, audity, process improvement, project planning, technical support, eletric engineering, maintenance management, quality control, project coordination, business development, management of projetct, project management, leading skills, maintenance and repair",29,0,Engineer
668713,"excel, sass, r programming, my sql, powerbi, tsql, ssis, ssrs, tableau desktop, java",4,3,Principal Consultant
637509,"sql, sql server, unix, oracle db, infrastructure, database systems, shell script, itil v3 foundation, project lead, integration services, oracle dataguard, oracle exadata, oracle linux, sql tuning, oracle rac, rman, oracle enterprise manager, sql server cluster, tsql, cluster service",22,0,Database Administrator
681030,"javascript, spring, primefaces, jsf, jsp, hibernate, apache tomcat, jsp and servlets, logistics",8,0,Developer Java Pleno
657045,"android, sql server, laravel, bootstrap, node.js, digital, apache, grails, my sql, front end, leadership, sqlite, cassandra, gantt, opencv, startups, matlab, assembly, x86-64 assembly, bemcss, cisco certified networking associate, project planning, nlp, android api, cryptography and network security, computer maintenance, ajax, project management, eclipse, jquery",5,3,Development Lead
676002,"android, sql, scrum, python, testing, html5, ios, agile, test planning and test script, databases, quality assurance, tfs, selenium, gitlab, regression testing, user acceptance testing, qa, bugzilla, rabbit mq, test management, test automation, mobile applications, test case, team player, team foundation server, test-driven development (tdd), postman, integration test, functional testing, ability to meet deadlines., risk analisys, teamwork oriented, self-motivated, web application testing, .net",11,3,Senior Software QA Engineer
674727,"sql, spring, spring mvc, junit, spring boot, microservices, algorithms, java",14,3,Software engineer Java
680871,"english, swift, ios, objective-c, firebase",5,0,iOS Developer
643174,"javascript, python, c, c++, groovy, grails, Big Data, data mining, machine learning, sails.js, cuda, scientific computing, groovy (grails), linux, git",8,0,Web Developer and Big Data Analyst
650379,"react.js, django, redux, django rest, jquery",5,3,FullStack Python React Developer
663945,"creative strategy, creative solutions",11,0,machine operator
673865,"javascript, network security, security and risk management, security assessment and testing, web application security, vulnerability assessment, code review, nessus, nmap, metasploit, red hat, network security: wireshark, burpsuit, tcpdump, web application testing",3,0,Information Security Consultant
676405,"html5, css3, arduino, google analytics, adobe premiere, ux, prototype, invision, image manipulation, marketing strategy, marketing analytics, adobe xd, video editing, layout design, vectorization, agile and kanban process, photoshop, user tests, mobile application development, git",7,3,UI / UX Designer
648463,"android, scrum, spring, itil, spring batch, agile, oracle db, rest api, my sql, sqlite, spring integration, reactivex (rxjava, rxphp, rxswift), java",9,4,Discovery-driven Android Engineer
672727,"c, c++, switchs layer 2 and 3, tcp/ip, switching, linux kernel, embedded software, routers, telecom networks, vxworks",9,0,Technical Specialist [ Software Developer ]
675939,"javascript, html5, css3, node.js, react.js, redux, php, git, react native",2,0,Full Stack Developer
672707,"sql, test planning and test script, jira, alm, tfs, selenium, reporting, manual testing, mentoring, sdlc practices, initiative, analytical and critical thinking skills, leading skills, automated testing",9,0,Senior Test Analyst
674387,"javascript, python, react.js, backbone.js, django, nosql databases",4,0,"Skilled in Python, Django, Javascript, SQL/NoSQL."
640689,"javascript, wordpress, laravel, html5, postgresql, web api, my sql, php",9,0,Senior Web Developer
680007,"crm, telecommunication, corporate finance, adobe marketing cloud, afnetworking, 5 sap implementations, credit recovery, aviation, oracle retail, training & mentoring, logistics, technical recruitment, .net, tech recruiting",8,0,Technical Account and recruiter
672202,"testing, test planning and test script, jira, selenium, etl, pentaho, informatica power center, test automation, sql query, java",9,0,Senior QA Engineer
671117,"pmi, erp, itil, dns, firewall, virtualization, cobit, team leadership, business intelligence, data center, mba, cloud computing, pmp, it strategy, business process, disaster recovery, it governance, it service management, linux, sap",18,3,IT Manager
665992,"english, portuguese, management, system analysis, business analysis, support analyst, java, french",12,3,Functional Analyst
668322,"sql, python, data modeling and systems analysis, mongodb, docker, data analysis, analytics, data science, statistics, business intelligence, flask, machine learning, spark, finance, nlp, algorithms, data visualisation, predictive analytics",6,0,Data Scientist/ Machine Learning Engineer
663954,"testing, ux, user flows, design thinking, storytelling, user acceptance testing, storyboard",7,0,UX/UI Designer
663077,"sql server, html5, bootstrap, css3, ASP.Net MVC, entity framework, c#, ASP.Net Core, linq, jquery, .net",2,0,.NET Developer
672674,"sql, javascript, python, mongodb, scala, docker, r programming, hadoop, jms, redis, etl, machine learning, spark, flink, kafka, flume, impala, hbase, sqoop, php, java, git",9,3,Big Data Engineer
680259,"sql server, visual studio, trello, project 2013, c#",1,0,Project Manager
681389,"android, c++, c for microcontroller, programming, solidworks, matlab, arm, labview, c#, protheus, java",6,0,Control and Automation Engineer
670254,"sql, testing, node.js, junit, docker, jira, rest api, selenium, leadership, cucumber, protractor, test automation, mochajs, test-driven development (tdd), saucelabs, manual testing, jasmine framework, java, aws",8,0,Test Lead (Automation)
676223,"javascript, spring, uml, json, jsp, hibernate, ejb, crm, soap, mongodb, digital, xml, junit, j2ee, apache, j2se, docker, ansible, jenkins, 3d studio max html5, subversion (tortoisesvn), data integration - enterprise, workflow, jdbc, pci, ariba cloud integration, architecture, sonar, cmmi certificate, sybase, archlinux, continuos deployment, cobol, natural, sdlc audit, bea weblogic, bemcss, cisco certified networking associate, oauth2, corporate finance, translator, ftp, apache tomcat, conversion rate optimization, intranet, adianti, claims, jsp and servlets, apache maven, ajax, database acces, adobe media encoder, security solutions, chrome extensions, eclipse, jquery, .net",12,0,"Associate Senior Engineer, Software Engineering"
681796,"sql, scrum, spring, soap, pl/sql, spring mvc, junit, tomcat, web services, agile, docker, jira, jenkins, spring boot, rest api, continuous integration, backend development, java, git, aws",5,0,Software engineer
645505,"docker, devops, c#, angular, java",3,0,"Senior Solution Architect, devops engineer, full s"
636419,"javascript, hardware, computer network, customer support, technical support, structured cabling, computer maintenance, nprinting, jquery",19,0,"Tech-savvy professional, determined and attentive "
647815,"sql, sql server, scrum, javascript, mvc, html5, bootstrap, css3, node.js, grunt, adobe illustrator, adobe indesign, cordova, sass, wireframe, gulp, backbone.js, user experience, scss, front end, express.js, es2015, firebase, axure, api, webpack, c#, es6, photoshop, angular, java, jquery, git, .net",9,4,Specialist in Web Engineering
624530,"sql server, bootstrap, postgresql, pl/sql, visual studio, oracle db, mvc modeling, c#, .net",6,3,"Bachelor of Science (B.S.), Computer Science"
635439,"microsoft office, active directory, windows, windows and linux servers, batch script, squid, iptables, dns, dhcp, mac os, google apps, network, switchs layer 2 and 3, business foundation, gpo, pfsense, firewall, network security",9,0,"Network, Support Analyst"
639458,"javascript, spring, html5, agile, kanban, cucumber, java, git",8,4,Java Backend Developer
672232,"pl/sql, oracle db, shell script, e-commerce, computer engineer, quality assurance of program codes, strategic planning, project management professional, documentation, linux, budgeting, project management",10,0,Manager Supply Chain/OMNI Channel
643304,"android, tdd, sql, javascript, spring, uml, mvc, html5, json, postgresql, jsf, jsp, hibernate, ios, css3, agile development methodology, soap, node.js, mongodb, windows, design patterns, xml, lamp, junit, servlets, maven, agile, react.js, spring boot, rest api, my sql, microservices, front end, object orientation, leadership, typescript, mockito, rfid, reactivex (rxjava, rxphp, rxswift), c#, wicket, intellij, jasmine framework, web applications, ajax, linux, multithreading, amazon ec2, eclipse, angular, java, jquery, git, aws, .net",9,3,Java Developer
655401,"english, word, excel, visio, german, powerpoint",11,0,Looking for a job in Industrial Engineering 
645526,"sql, sql server, windows forms, javascript, python, wcf, html5, mongodb, windows, visual studio, devops, microsoft visual studio, rest api, my sql, ASP.Net MVC, c#, angular, aws, .net",8,3,Fullstack Developer | AWS Devops
648704,"microsoft office, management, project lead",16,0,High-performing Team Leader
670831,"sql server, scrum, javascript, mvc, docker, oracle db, mariadb, ASP.Net MVC, entity framework, c#, ASP.Net Core, tsql, linq, .net",14,3,Software Engineer
674525,"microsoft office, after effects, premiere, ilustrator, video production, video editing, photoshop, final cut",9,3,Video Editor/Videographer
638748,"scrum, adobe fireworks cs6, agile development methodology, adobe illustrator, agile, ux, wireframe, prototype, user flows, user stories, user feedback, agile methodologies, agile project management, user experience, user interface, information architecture, ilustrator, icon design, game design, vector art, scrum master, mobile applications, product owner, user research, desktop applications, navigation flow, screen flow, layout, icons, mockups, photoshop",10,0,UX/UI & Game Designer
667574,"sql server, javascript, less, visual studio, oracle db, backbone.js, c#, visual studio code",4,0,Software Engineer
662941,"azure, sql server, mvc, xamarin, tfs, visual studio sdk, cloud computing, api, entity framework, xaml, c#, xamarin forms, ASP.Net Core, backend development, visual fox pro, mobile application development, android studio, .net",11,2,Mobile Developer / Back End / .Net C#
679921,"sql, javascript, html5, entity framework, c#, ASP.Net Core, angular, .net",4,4," C#,  ASP.NET Core,  SQL,  PHP,  Angular"
678280,"ruby on rails, sql server, javascript, html5, css3, seo, xml, apache, web services, digital marketing, databases, nginx, my sql, mobile devices, leadership, mobile marketing, market research, strategic planning, product management, linode, mobile applications, xslt, blogging, php, aws",15,3,Web Project Lead
635633,"microsoft office, active directory, windows, itil, microsoft servers, network security, virtualization, microsoft sharepoint, tcp/ip, mobile devices, networking software, networking hardwares, microsoft outlook, citrix",8,0,IT Support Analyst Level 1&2
665825,"c++, autocad, google adwords, java",1,1, telecommunications technician
650042,"project management professional, pmp, change management, openbsd, consulting, togaf, banking, linux, sap",13,0,"Project Manager, PMP (PMO and Change Management)"
533372,java web,0,0,Java Developer
662952,"python, django, microservices",8,0,Software Developer
662504,"azure, sql server, javascript, html5, bootstrap, css3, oracle db, soa, rest api, ASP.Net MVC, cloud computing, c#, lucene, angular, jquery, .net",10,3,Software Architect | Full Stack Developer
636881,"oracle db, sql server - intermediate, java, .net",6,0,System Developer 
676924,"ddd, sql, sql server, uml, microsoft office, nhibernate, html5, postgresql, asp, visual studio, software development, software engineering, microsoft visual studio, iis, sql tuning, entity framework, togaf, salesforce.com, apex developer, bpm, php, jquery",7,0,Software Architect / Senior Developer
604231,"azure, sql server, scrum, javascript, html5, css3, lamp, phonegap, sass, apache, test planning and test script, jira, iis, kanban, firebase, dynamics crm, test automation, c#, requirement gathering, requirements analysis, ajax, angular, php, java, jquery, mysql, angular7, asp.net mvc",5,3,Web Developer
675474,"sql, ruby on rails, javascript, python, web development, mongodb, github, game development, django, microservices, flask, bottle, sinatra, git",7,0,Software Developer and Technology evangelist 
642866,"iso 27001, iso 27002, switchs layer 2 and 3, network security, linux sysadmin, itil v3 foundation, bgp, ospf, mpls, cluster, vpn, cisco technologies, telecommunication, cisco certified networking associate, juniper routers, linux servers administration, cisco asa, telecom networks, sip, network administration, high performance clusters, cisco routers, cisco switches, linux",15,0,Network Engineer
636856,"scrum, c++, html5, devops, ASP.Net MVC, business intelligence, c#, business development, mobile application development, php, java, .net",6,0,Developer Full-Stack
664191,"javascript, laravel, github, react.js, vue.js, php, jquery, git",4,3,FullStack PHP/Nodejs Developer
667399,"javascript, html5, css3, web api, typescript, scrum master, ionic2, team management, project management, angular, java",11,3,Mobile Developer
670873,"node.js, mongodb, excel, data analysis, react.js, my sql, vba, sql development, ibm bluemix, aws, twilio",15,3,Back-End Developer
675741,"sql, javascript, c, html5, bootstrap, css3, node.js, mongodb, ionic framework, shell script, mongoose, php, java, jquery",2,2,Front-end developer
681004,"crm, data integration - enterprise, qa director certified, adobe audition, rfp, corporate finance, computer maintenance, budgeting, training & mentoring, computer vision",12,0,System Analyst Consultant for Software Projects
639603,"android, tdd, javascript, python, c, c++, bootstrap, web development, materialize, react.js, single-­page applications, django, mobile development, c#, angular, php, java",7,3,Software Developer
661166,"python, c, machine learning, matlab, linux, java",5,3,Software Developer
635232,"ruby on rails, sql server, bootstrap, postgresql, css3, classic asp, web services, heroku, jquery, aws",7,3,Looking for a Ruby/RoR.
645065,"sql server, laravel, sql development, c#, database tuning, ssis, database administration, php, .net",14,0,Web Developer C# / PHP
676319,"javascript, python, laravel, spring, html5, bootstrap, css3, crm, node.js, devops, react.js, blockchain technologies, wordpress,  php,joomla,magneto,bootstrap, angular, php, java, aws",6,0,Software Engineer
678785,"android, scrum, javascript, python, c, c++, xml, bitbucket, software development, subversion, rest api, django, mobile devices, c#, eclipse, java, git, .net",13,2,Software Developer
663274,"javascript, wordpress, html5, bootstrap, sublime text 3, photoshop, jquery",3,2,Web Designer/ Integrator
646133,engineer,5,0,Welding Engineer 
680927,"scrum, python, html5, postgresql, css3, design patterns, software development, software engineering, user stories, quality assurance, my sql, management, process analysis, scrum master, project planning, product owner, use case, requirements engineer, implementation, sales and client relationship, requirements analysis, design user experience, project management, php, java",13,3,Senior Human Resource and Project Manager
644223,"json, swift, ios, node.js, design patterns, objective-c, api, architectural patterns",4,3,iOS Application Developer
659505,"azure, sql, javascript, html5, bootstrap, web api, c#, angular, jquery, .net",6,0,.Net Developer
636536,"sql server, html5, pl/sql, data modeling and systems analysis, visual basic, oracle db, pmbok, my sql, architecture, extjs, team foundation server, lead developer, .net",18,3,Solution Architect / Software Development / Team L
639303,"android, ios, cordova, leadership, mobile hibrid dev, mobile application development, react native",2,3,Digital Business Integration Consultant
677453,"tdd, ddd, sql server, javascript, english, mvc, html5, bootstrap, css3, wpf, node.js, svn, web api, web forms, iis, react.js, oracle db, xamarin, devexpress, telerik, entity framework, xaml, ado.net, c#, reporting services, angular, jquery, .net",6,2,Senior Full stack Developer (.NET Specialist)
661422,"javascript, wordpress, html5, css3, seo, sass, ux, ui, react.js, vue.js, stylus, redux, illustration, digital paint, photoshop, php",7,2,Front-end developer
658600,"sql server, javascript, laravel, html, css, node.js, jquery mobile, ionic framework, web api, react.js, sharepoint, continuous integration, ASP.Net MVC, webpack, ionic2, redux, ssrs, angular, jquery, .net",8,3,Fullstack Software Developer
669206,"ux, user experience, front end",8,0,graphic + web designer
657427,"javascript, html5, css3, dreamweaver, adobe illustrator, e-commerce, woocommerce, ftp, wordpress,  php,joomla,magneto,bootstrap, photoshop, php, jquery",6,0,Front-End Developer
679390,"tdd, sql, sql server, scrum, javascript, mvc, html5, json, jsf, web development, ios, pl/sql, design patterns, oracle db, rest api, continuous integration, typescript, continuos deployment, entity framework, c#, coredata, java, jquery, git, .net",7,3,Full Stack Web Developer
656120,"sql server, windows forms, javascript, uml, wcf, nhibernate, html5, bootstrap, postgresql, css3, wpf, node.js, grunt, asp, oop, web services, docker, web forms, iis, oracle db, rest api, sql and oracle pl/sql developer, microservices, ASP.Net MVC, typescript, entity framework, sql development, c#, scrum master certified, ASP.Net Core, linq, sql query, ajax, svn, mvc - advanced, asp.net ajax control toolkit, angular, jquery, git, .net",21,3,Full Stack .Net C# Developer
650030,"software developer, software architecture, solutions architecture, enterprise architecture, project management",8,0,Enterprise Architect
664957,"python, hardware, docker, ansible, bash script, jenkins, devops, firewall, iptables firewall, infrastructure, sonicwall, dell servers, linux servers administration, network administration, cisco routers, cisco switches, kubernetes, netapp, linux, vmware esxi, bacula, elk stack, git, aws",17,2,Linux Specialist / AWS SysOps / DevOps
654452,"javascript, laravel, html5, bootstrap, github, windows and linux servers, react.js, vue.js, redux, ASP.Net Core, php, java, jquery",11,3,Web Developer
