UserId,Skills,YearsOfExperience,EnglishLevel
665541,"sql, javascript, html, active directory, dns, dhcp, firewall, visio, cloud computing, microsoft project, ftp, structured cabling, freenas, redes, php",14,2
672025,"sql server, python, postgresql, erp, data modeling and systems analysis, excel, data analysis, data science, statistics, my sql, machine learning, qlik sense system adminitrator, math",3,0
673731,"ruby on rails, scrum, javascript, wordpress, bootstrap, postgresql, css3, gulp/grunt, svn, sass, ux, ui, react.js, ember.js, vue.js, my sql, neo4j, jasminejs, mochajs, redux, photoshop, php, jquery, git",12,2
657320,"english, interpersonal skills, analysis, finacial management, e-commerce, leadership, intermediate french, management, communication, intellectual curiosity, portuguese - celpebras, french",7,0
654297,"python, mongodb, docker, jenkins, openstack, kvm, shell script, django, flask, openshift, puppet, linux, php, git, aws",5,0
658400,"scrum, spring, soap, design patterns, junit, docker, jira, microservices, hana, abap, cloud computing, istqb's ctfl, test-driven development (tdd), java",8,3
638942,"html5, bootstrap, jee, my sql, liferay, progress, c#, java, jquery",22,3
662893,"public speaking, consulting, trainer, facilitation",14,3
640081,"python, apache, docker, ansible, openstack, virtualization, shell script, gitlab, cloud computing, red hat, openshift, server administration, puppet, linux, jenkins - basic, http, System Administration, php",8,3
643490,"tdd, sql, sql server, javascript, wordpress, laravel, html5, bootstrap, css3, mongodb, apache, docker, ux, ui, rest api, nginx, vue.js, my sql, front end, joomla, machine learning, digital ocean, uikit, teamcity, es6, neural networks, xampp, graphql, mobile application development, angular, php, java",4,3
670795,"pl/sql, unix, agile project management, tableau, teradata, informatica power center, sql and pl/sql tuning, oracle business intelligence, sap bi/bo, unix shell scripting",6,0
677634,"python, vb6, Big Data, hadoop, vba, business analysis, spark, spark-sql, finance, sql development, flume, numpy, sqoop, ec2, aws",1,0
671104,"sql server, scrum, agile project management, e-commerce, innovation, ariba cloud integration, mba, negotiation, startups, archlinux, it operations, budgetary management, test case, 70-461 - querying microsoft sql server, saas, project management",11,0
644244,"android, arduino, rest api, routers, eclipse, java, react native",7,1
654125,"spring, rest api, microservices, java, google cloud",10,0
674795,"android, tdd, sql, sql server, windows forms, javascript, wordpress, laravel, uml, html5, bootstrap, css3, node.js, mongodb, design patterns, xml, adobe illustrator, oop, xmpp, github, sass, apache, docker, vagrant, web api, devops, web design responsive, react.js, gulp, single-­page applications, rest api, nginx, my sql, database design, front end, continuous integration, express.js, es2015, redis, firebase, api, semantic ui, startups, nosql, webpack, website development, oauth2, linux servers administration, nosql databases, redux, c#, visual studio code, openfire, saas, mvp, es6, cms, postman, integration test, websockets, unit testing, es7, continuous delivery, ecmascript, ssl certificates, vsts, fast learning, full stack, linux, backend development, photoshop, android studio, ci/cd automation, php, java, jquery, git, aws, react native",15,2
665363,"ux, pmbok, leadership, management, analytical and critical thinking skills",14,0
654380,"javascript, node.js, ionic framework, docker, react.js, orm, firebase, nosql, angular, php, git, react native",5,0
675284,"ariba cloud integration, b2b, mba, architecture, theorical knowledge in hadoop ecosystem, offshore, windows drivers, corporate finance, it operations, it governance, budgetary management, adobe marketing cloud, cisco wireless technologies, laser engraving, arcgis, healthcare, computer maintenance, nprinting, forecasting, project management",24,0
649462,"zbrush, after effects, 3d studio max, rendering, architecture, mudbox 3d, modeling, photoshop",12,0
637029,"javascript, html5, web development, css3, windows, oop, cqrs, web api, mac os, rest api, typescript, abap, entity framework, c#, xamarin forms, ASP.Net Core, electron.js, oriented object, linux, angular, php, java, git, .net",11,0
651085,"autocad, sun certified java programmer, computer engineer, cisco certified networking associate, computer maintenance",16,0
647392,"ruby on rails, javascript, html5, css3, node.js, sass, react.js, nosql, webpack, es6, flux, angular, jquery",5,0
673831,"laravel, html5, node.js, mongodb, less / sass, lamp, apache, devops, react.js, vue.js, my sql, front end, express.js, mean, full stack, angular, php",2,3
645845,"ux, wireframe, prototype, invision, responsive web design, branding & identity, e-learning, balsamiq mockups, ios design patterns, material design, photoshop",15,3
656636,"sql, c, microsoft office, etl, java, .net",3,0
678094,"azure, python, unix, r programming, statistics, opencv, machine learning, scikit-learn, neural networks, pandas, forecasting, aws, google cloud",9,3
681273,"python, node.js, github, docker, jira, jenkins, react.js, gitlab, bamboo, git flow, server less, git, aws, react native",1,3
642286,"firewall, nagios, serious games, bgp, ospf, ccnp, computer engineer, tcp/ip, workflow, antispam sms, switching, ccie collaboration, archlinux, continuos deployment, cisco wireless technologies, afnetworking, cisco asa, carrier ethernet, cisco routers, computer maintenance, maintenance routes voip, security solutions",8,0
646025,"adobe illustrator, adobe indesign, ux, wireframe, prototype, sketch, invision, adobe lightroom, branding & identity, photography, advertising, adobe muse, user research, principle, cinema 4d, illustration and digital painting, concept art, photoshop",16,3
673456,"javascript, python, html5, css3, communication",0,0
644193,"scrum, javascript, postgresql, node.js, devops, cobit, agile methodologies, team leadership, itil foundation certified, tableau, business analysis, linux, jenkins - basic, managed service, ca sdm, git, sap",8,0
676041,"sql server, sharepoint, e-commerce, presentation, cms, jquery, .net",11,3
663512,"python, c++, clojure, docker, devops, cloud computing, nosql, graph databases, rdf, c#, prolog, kubernetes, angular, aws, .net",13,0
649133,"android, tdd, scrum, javascript, spring, c, html5, postgresql, jsf, hibernate, ejb, jpa, css3, soap, visual basic, junit, servlets, maven, agile, spring boot, rest api, sql and oracle pl/sql developer, jms, shell script, guice, distributed systems development, spring jdbc, spring integration, clipper, mockito, jboss 4.2 / 5 / 6, iso 8583, jquery ui, rmi, groovy (grails), jsp and servlets, ajax, jenkins - basic, php, java",13,0
654093,"scrum, javascript, wordpress, c++, html5, crm, groovy, rest api, ilustrator, problem solving, typescript, sql development, c#, siebel, photoshop, angular, php, java, .net",6,3
661472,"android, scrum, python, c, c++, html5, ios, software development, oracle db, programming, agile methodologies, entrepreneurship, xamarin, team leadership, django, tcp/ip, system architect, startups, sap r3, cocoa, mobile applications, sap netweaver, c#, extreme programming, lead developer, full stack, business strategy, backend development, angular, php, java",16,0
658495,"oracle dataguard, oracle enterprise manager, oracle database administration, oracle database backup and recovery, database monitoring, database high availability, oralce datapump, oracle enterprise linux 7, oracle weblogic server, weblogic domain, oracle weblogic server administration, oracle database disaster recovery, oracle database administration 12c, oracle enterprise linux server 7, oracle database backup and recovery",7,0
656970,"javascript, html5, node.js, adobe illustrator, adobe premiere, adobe after effects, sketch, react.js, digital marketing, adobe experience design, adobe audition, project management professional, marketing analytics, cms, agile & waterfall methodologies, photoshop, php",3,0
675970,"javascript, html, bootstrap, css, node.js, mongodb, adobe illustrator, mysql, front end, interface design, photoshop, php, jquery",6,3
680736,"jira, quality assurance, project lead, interviews, process analysis, qa, confluence, process improvement, test case, bugs, bamboo, test design, quality control, project coordination, project management",11,0
672976,"abap, eletricista, redes",13,0
675566,"spring, hibernate 3 and 4, jpa, swift, design patterns, web services, spring boot, rest api, angular, java",8,0
674042,"sql, r programming, machine learning",6,0
662155,"tdd, scrum, xamarin, devexpress, lua, kotlin, desktop applications, c#, .net compact framework, angular, .net",3,0
671384,"javascript, wordpress, autocad, html, css, after effects, microchip pic, react.js, ilustrator, mysql, assembly, dart, photoshop, final cut, flutter",7,0
676271,"sql, english, windows server, windows, firewall, virtualization, Big Data, infrastructure, xenserver, ms project, cloud computing, operating systems, help desk support, it service management, linux, vmware esxi",23,0
681922,"sql, data analysis, data science, sql and oracle pl/sql developer, hadoop, tableau, sas guide, sas miner, sql query",10,4
644731,"javascript, python, c, autocad, electronic, html5, css3, node.js, mongodb, rest api, meteor, hardware integrations, photoshop, graphql",7,0
639186,"sql, javascript, python, html5, bootstrap, postgresql, css3, github, apache, vagrant, flask, oauth2, linux servers administration, c#, ssh, sqlalchemy, unity3d - basic, linux, shell, http, 3g, 4g service, java, git, lte network",13,0
656128,"tdd, ddd, sql, javascript, html5, bootstrap, css3, node.js, mongodb, oop, visual studio, web api, rest api, tfs, ASP.Net MVC, typescript, express.js, c#, json, backend development, angular, jquery, git, .net",6,0
658596,"android, sql server, javascript, bootstrap, node.js, mongodb, web forms, my sql, express.js, mongoose, c#, reporting services, jquery, .net",10,0
677972,"ruby on rails, javascript, html5, css3, node.js, react.js, ember.js, rest api, three.js",5,4
656267,"python, github, jira, api, test automation, iot, appium, manual testing, postman, git, robot framework, zephyr",6,0
670143,"ddd, mvc, wcf, postgresql, pl/sql, oop, web api, sql and oracle pl/sql developer, api, ASP.Net Core, psql, php, .net",3,2
661189,sales and client relationship,7,0
637975,"python, unity, laravel, ejb, docker, devops, react.js, spring boot, django, mysql, front end, elasticsearch, flask, c#, django rest, backend development, php, java, aws, .net, golang, apache pulsar, go",17,3
635943,"swift, github, firebase, code review, git flow, auto layout",5,0
654106,"javascript, python, css, mariadb, realm, c#, ec2, java, jquery, git, mysql, mysql",5,2
679969,"azure, sql server, javascript, python, html5, bootstrap, software engineering, docker, web api, devops, microservices, software architecture, security awareness program, web application security, information security, secure coding, secure programming, entity framework, c#, ASP.Net Core, unit testing, web applications, identity server, angular, java, jquery, aws, .net",9,4
674557,"javascript, html5, visual studio, oracle pl/sql, sql development, c#, sql and pl/sql tuning, ssis, .net",6,0
647602,"python, machine learning, c#, xamarin forms, unity3d - basic",2,0
638619,"sql server, scrum, javascript, html5, bootstrap, wpf, node.js, xml, web api, web forms, rest api, my sql, tfs, ASP.Net MVC, entity framework, ado.net, c#, ASP.Net Core, jquery, git, .net",10,2
651278,"python, laravel, node.js, react.js, lodash, d3.js, jasmine framework, angular, react native",6,0
664031,"javascript, python, html5, postgresql, jsp, hibernate, node.js, spring mvc, tomcat, servlets, maven, npm, rest api, microservices, jetty, reactivex (rxjava, rxphp, rxswift), git flow, angular, java, git",3,3
678809,"python, security controls, incident response",15,0
674125,"node.js, docker, oracle db, programming, my sql, elasticsearch, kafka, linux",5,3
661577,"ruby on rails, sql server, scrum, javascript, spring, html5, css3, node.js, bitbucket, maven, struts, jenkins, react.js, kanban, oracle db, spring boot, gradle, ant, maven knowledge, team leadership, front end, api, documentation, gradle, agile and kanban process, java, jquery, git",13,2
671560,"sql server, javascript, python, c, css3, programming, my sql, pascal, php",8,0
667102,"python, laravel, c, html5, css3, mongodb, google analytics, react.js, django, go lang, php",3,2
680682,"mongodb, digital, prototype, 3d studio max html5, front end, educational instructor, webpack, bemcss, teaching, android api, 70-461 - querying microsoft sql server, redux, django rest, asp.net ajax control toolkit, database acces, training & mentoring, .net",4,4
647567,"javascript, mvc, html5, json, postgresql, css3, soap, pl/sql, my sql, e-commerce, linux, php, java, jquery",6,0
650329,"microsoft office, six sigma, windows, agile methodologies, scrum partitioner, itil v3 foundation, process analysis, business analysis, change management, process improvement, requirements analysis",13,0
664101,"ux, wireframe, prototype, user flows, usability testing, user research",7,3
666867,"html5, css3, after effects, ux, motion graphics, animation, video editing",5,0
643581,"ruby on rails, javascript, html5, postgresql, web development, css3, mongodb, seo, sass, software development, docker, react.js, gulp, my sql, elasticsearch, webpack, lumen, linux, php, jquery, git",14,0
643152,"android, javascript, node.js, mongodb, docker, react.js, shell script, archlinux, linux, angular, java",7,0
679467,"sql, c++, oop, databases, c#, mvc 4 & 5, java",5,3
668345,"android, sql, python, mongodb, django",4,0
680881,"android, sql, sql server, javascript, laravel, spring, c++, postgresql, hibernate, swift, ios, oop, software development, ionic framework, oracle db, databases, infrastructure, rest api, xamarin, team leadership, software developer, my sql, database design, leadership, centos, mobile development, architecture, cloud computing, matlab, ionic2, cocoapods, product management, xcode, teaching, mobile applications, android api, algorithms, iot, labview, c#, xamarin forms, android framework, ios native framework, ec2, mobile hibrid dev, web applications, fast learning, linux, backend development, relational database, mechatronics, mobile application development, android studio, php, java, git, aws, robotics",16,3
672451,"android, swift, ios, software development, ionic framework, react.js, blackberry, sqlite, api, product management, xcode, team management, google maps api, java, react native",8,3
665895,"javascript, node.js, mongodb, agile, test planning and test script, web api, react.js, code review, dapper, c#, bdd - behavior-driven development, ASP.Net Core, git",2,0
644176,"javascript, web development, oracle db, databases, oracle application-plsql, sql and oracle pl/sql developer, my sql, front end, full stack, backend development, php, jquery",8,0
650914,"ruby on rails, javascript, postgresql, react.js, ember.js, my sql, go lang, angular, java",11,0
680158,"2d animation, cisco certified networking associate",5,0
653198,"javascript, python, react.js, programming, linux, git",3,2
655753,"scrum, python, c++, software engineering, devops, data analysis, agile methodologies, data science, software developer, machine learning, matlab, test-driven development (tdd)",9,3
674131,"javascript, node.js, react.js, front end, express.js, redux, koajs, git",7,0
678753,"sql, ruby on rails, javascript, python, wordpress, laravel, html, bootstrap, postgresql, css, node.js, github, bitbucket, sass, grails, docker, ui, react.js, responsive web design, rest api, django, database design, typescript, gitlab, firebase, heroku, webpack, bemcss, oauth2, mean, responsive layout, redux, database acces, graphql, ci/cd automation, angular, php, jquery, git, aws, ruby",3,4
653424,"scrum, adobe illustrator, ux, sketch, agile methodologies, user experience, user interface, design thinking, product design, adobe xd, user research, photoshop, design mobile",16,4
653224,"c++, design patterns, computer graphics, solidworks, tfs, cad, opengl, c#, data structures, .net",12,0
669464,"javascript, node.js, react.js, dapper, .net",3,0
653804,design mobile,3,0
667900,"tdd, sql, sql server, javascript, mvc, wcf, html, css, agile development methodology, oop, visual studio, agile, jira, web forms, oracle db, rest api, software developer, continuous integration, ASP.Net MVC, api, telerik, entity framework, signalr, salesforce.com, c#, ASP.Net Core, unit testing, continuous delivery, oriented object, ajax, asp.net ajax control toolkit, identity server, backend development, angular, git, .net",8,3
636514,"javascript, html5, cordova, c#, ASP.Net Core, hololens developer, angular, php, java",19,0
644496,"javascript, wordpress, html5, bootstrap, css3, sass, react.js, gulp, bower, photoshop, angular, jquery",7,0
652238,"html, web development, adobe illustrator, adobe indesign, ux, sketch, a/b tests, invision, analytics, digital marketing, responsive web design, user experience, e-commerce, adobe creative suite softwares, axure, usability testing, mobile design, interface design, user research, email marketing, adobe photoshop",8,0
624511,"android, bootstrap, json, jsf, jsp, hibernate, swift, ios, mongodb, jboss, objective-c, oracle db, glassfish server, my sql, java, jquery",16,3
666099,"tdd, sql server, scrum, hibernate, soap, pl/sql, visual basic, asp, web services, software engineering, oracle db, rest api, xp programming, scrum master certified, tsql, php, java",16,4
637894,"android, azure, postgresql, wpf, delphi, ASP.Net MVC, sqlite, realm, c#, ASP.Net Core, agile and kanban process, graphql, java, .net",6,3
638616,"active directory, itil, cobit, it infrastructure, it management, change management, operating systems, it governance, it service management, technical support, incident management, problem management, release management, configuration management",12,0
653407,"android, c for microcontroller, hardware design, json, microchip pic, assembly, pascal, fpga, vhdl, verilog, arm, linux, php, git, debugging",18,3
637271,"javascript, postgresql, soap, yii, my sql, php, java, git, aws",8,3
666958,"azure, sql, python, mongodb, data analysis, r programming, data science, statistics, machine learning, aws",6,4
672409,"sql, javascript, uml, microsoft office, json, netbeans, pl/sql, xml, junit, microsoft visual studio, oracle db, agile methodologies, microsoft test manager, microsoft powerpoint, microsoft word, tfs, selenium, api, regression testing, test automation, test case, microsoft excel, webdriver, test-driven development (tdd), scrum master certified, functional testing, camtasia, eclipse, java",6,0
677466,"virtualization, infrastructure, data center, linux servers administration, server administration",13,0
640770,"python, firewall, network security, vulnerability management, security and risk management, ids/ips, web application security, network analysis, siem, pentest, it support technician, cyber security, linux, squid proxy",9,2
665084,"node.js, mongodb, digital, less / sass, serious games, front end, webpack, redux",6,0
675960,"android, laravel, swift, kotlin, php, java",5,0
652038,"javascript, docker, react.js, express.js, webpack, mongoose, material ui, es6, eslint, babeljs, angular",5,3
664207,"sql, spring, jsf, docker, jee, spring boot, rest api, angular, java",9,3
679269,"sql server, javascript, spring, postgresql, jsp, hibernate, xml, j2ee, j2se, unix, 3d studio max html5, oracle application-plsql, front end, archlinux, bemcss, apache tomcat, database acces, jquery, .net",8,2
657574,"javascript, html5, bootstrap, node.js, react.js, scss, webpack, material ui, redux, es6, git",4,0
666241,"sql, javascript, python, postgresql, mongodb, docker, react.js, vue.js, flask, test-driven development (tdd), elastic beanstalk, git, aws, react native",3,0
668258,"sql, scrum, javascript, python, spring, jpa, node.js, spring mvc, react.js, rest api, firebase, flask, webpack, sqlalchemy, linux, java, aws",10,0
679538,"python, mongodb, docker, network security, user stories, continuous integration, user acceptance testing, user story priorization, network analysis, network infrastructure, network administration, linux, network engineering, aws, google cloud, network design, gcp, continuous deployment, mysql",7,4
669765,"tdd, ddd, javascript, postgresql, node.js, spring mvc, react.js, mariadb, vue.js, express.js, java",6,3
641935,"sql, scrum, javascript, python, spring, uml, english, html, bootstrap, json, postgresql, css, node.js, oop, agile, docker, jira, jenkins, data analysis, kanban, r programming, Big Data, data science, rest api, hadoop, statistics, vue.js, team leadership, mysql, problem solving, microservices, object orientation, typescript, neo4j, redis, risk management, management, data mining, communication, strategic planning, elasticsearch, etl, flask, nosql, machine learning, rabbit mq, business analysis, confluence, team management, scikit-learn, es6, d3.js, balanced scorecard, numpy, unit testing, pandas, data visualisation, oriented object, ajax, lean mindset, backend development, relational database, analytical and critical thinking skills, project management, ci/cd automation, php, java, jquery, git, ruby",14,3
680517,"android, python, c, c#, sql query",1,0
639038,"sql server, scrum, javascript, html, bootstrap, css, codeigniter, google analytics, seo, less, tableless, bitbucket, sass, jira, ux, a/b tests, gulp, responsive web design, rest api, mysql, adobe creative suite softwares, e-learning, google tag manager, responsive layout, grid996, unit testing, photoshop, angular, php, jquery, git",10,3
643459,"android, sql server, javascript, uml, mvc, wcf, html5, json, css3, wpf, node.js, crystal reports, xml, web services, web forms, iis, vb6, oracle db, my sql, entity framework, c#, xamarin forms, reporting services, scrum master certified, linq, .net compact framework, .net visual basic, asp.net ajax control toolkit, angular, jquery, .net",16,3
670469,"javascript, spring, hibernate 3 and 4, node.js, oracle db, tomcat server, weblogic server, sql and oracle pl/sql developer, my sql, software architecture, unit testing, mulesoft, angular, java, jquery",10,0
655312,project management professional,9,0
637104,"sql, sql server, scrum, javascript, pmi, zend framework, uml, english, node.js, mongodb, software development, ionic framework, jira, gulp, npm, bower, pmbok, backbone.js, continuous integration, b2c, b2b, ms project, meteor, loopback, doctrine, scrum master, e-learning, saas, rup, linux, angular, php, git, aws",9,0
640300,"marketing, data science, e-commerce, internet of things, pre-sales, product management, public speaking, briefing program, videoconferencing, unified communications",14,4
675026,"ruby on rails, javascript, html5, postgresql, my sql, redis, sidekiq, coffeescript, haml, jquery, aws",7,0
671218,"javascript, html5, node.js, react.js, webpack, test automation, redux, graphql, git",7,0
640123,"android, engineer, quality assurance, software developer, creative solutions",11,0
642396,"sql, scrum, javascript, microsoft office, english, mvc, html, bootstrap, json, web development, css, pl/sql, node.js, windows, xml, visual studio, svn, sass, junit, web services, subversion, web api, bash script, npm, oracle db, rest api, jaspersoft reports, shell script, api, redux, c#, es6, jasmine framework, unit testing, linux, java, jquery, git, .net, .net core",8,4
637979,"html5, css3, node.js, smarty template engine, less / sass, sass, web design responsive, ux, sketch, react.js, vue.js, ilustrator, stylus, pug, photoshop, php, jquery",8,0
644959,"javascript, python, c++, docker, jenkins, my sql, go lang, elasticsearch, fedora, ubuntu server, linux, php, git",9,0
675511,"python, c++, ethereum, blockchain technologies, solidity",8,0
649814,"python, automation, ansible, network, bgp, ospf, mpls, eigrp, network administration, design datacenter, network protocols, network engineering",12,3
643243,"sql server, javascript, html5, json, node.js, web api, oracle db, express.js, mongoose, c#, tsql, linq, angular, .net",19,0
660111,"wordpress, adobe illustrator, adobe indesign, 3d studio max html5, webdesign, adobe dreamweaver, advertising, bemcss, adobe marketing cloud, corel draw, training & mentoring",20,0
662806,"javascript, laravel, html5, css3, node.js, mongodb, vue.js, my sql, express.js, ajax, php, jquery",2,0
676109,"sql, javascript, html5, xml, jboss application server, oracle db, programming, data migration, sap workflow, sap fiori, abap, db2, joomla, sap netweaver, sap sd, sap ui5, linux, photoshop, sap",5,0
678546,"javascript, spring, hibernate, mongodb, github, maven, software development, databases, spring boot, mysql, typescript, full stack, backend development, angular, java, jquery, git",3,0
679226,"python, html5, data science, rest api, django, opencv, machine learning, bots, linux, tensorflow, image classification",2,4
665188,"tdd, sql server, scrum, javascript, uml, html5, json, css3, mongodb, design patterns, xml, scala, subversion, web api, jira, jenkins, iis, vb6, oracle db, my sql, tfs, dependency injection di, heroku, pentaho, entity framework, certified scrum master, microsoft certified professional, reporting services, bdd - behavior-driven development, linq, unit testing, ajax, lean mindset, raml, jquery, git, .net",10,3
642035,"sql, scrum, javascript, python, spring, uml, c, c++, html5, postgresql, jsf, jsp, hibernate, ejb, jpa, ireport, css3, mongodb, design patterns, actionscript 3, svn, junit, maven, struts, groovy, jenkins, react.js, rest api, my sql, continuous integration, typescript, db2, api, matlab, sonarqube, prolog, java, jquery, git",9,2
635979,"node.js, cordova, ionic framework, web api, typescript, doctrine, mobile applications, symphony, web applications, angular, php",4,3
644338,"sql, python, mvc, oop, bash script, jenkins, squid, iptables, dns, pfsense, firewall, samba, vmware, nagios, zabbix, xenserver, centos, ubuntu server, linux, cacti, bacula, System Administration, php, jquery",24,0
663621,"sql server, javascript, node.js, c#, java, nodejs",5,3
640964,"android, sql server, scrum, javascript, spring, html5, bootstrap, postgresql, jsf, jsp, hibernate, css3, firebird, mongodb, grails, jee, my sql, c#, swing, ASP.Net Core, angular, php, java, git",8,2
681211,"javascript, react.js",3,4
665241,"sql server, hibernate 3 and 4, html, postgresql, jboss, github, user stories, spring boot, sql and oracle pl/sql developer, rup, requisite analysis, pmp, functional specifications, scrum master, business analysis, bpm, git flow, eclipse, angular, java, git, aws",27,3
672594,"spring, actions beans, uml, jsf, hibernate, web development, soap, spring mvc, junit, apache, sun certified java programmer, struts, software development, docker, oracle db, entrepreneurship, subversion (tortoisesvn), mqseries, jms, team leadership, e-commerce, computer engineer, workflow, business intelligence, jdbc, innovation, ariba cloud integration, db2, architecture, cvs, management, strategic planning, ibm websphere, startups, archlinux, axis2, public speaking, mobile applications, adobe marketing cloud, apache tomcat, coredata, adianti, lucene, computer maintenance, django rest, credit recovery, apache maven, ajax, business strategy, slackware, analytical and critical thinking skills, eclipse, java",4,3
676191,"sql, english, excel, data analysis, unix, oracle db, business intelligence, communication, tableau, presentation, obiee, requirement gathering, oracle business intelligence, requirements analysis",7,0
641612,"sql, javascript, python, c, c++, postgresql, css, soap, node.js, phonegap, ionic framework, react.js, debian, rest api, centos, typescript, mobile development, qt, ubuntu server, redux, rust, linux, angular, java, react native, go, go",10,4
678349,"azure, docker, ansible, devops, linux sysadmin, red hat, openshift, linux servers administration, linux institute professional certified, kubernetes, jenkins - basic, aws, terraform",16,0
661023,"javascript, python, laravel, html5, json, css3, excel, github, data analysis, react.js, r programming, django, my sql, machine learning, matlab, ajax, linux, access -  vba, tensorflow, php, jquery",8,3
638630,"sql, javascript, bootstrap, json, node.js, mongodb, xml, sap gateway, teamwork, java, jquery, sap",13,0
665437,"scrum, python, testing, json, jira, jenkins, kanban, oracle db, agile methodologies, rest api, jmeter, selenium, redis, confluence, performance test planning, bdd - behavior-driven development, test-driven development (tdd), functional testing, junit - intermediate, linux, automated testing, java, aws",8,0
644482,"sql, spring, c++, hibernate, arduino, spring batch, maven, spring boot, shell script, spring data, gradle, embedded software, embedded systems, bamboo, lombok, linux, java",9,3
640845,"english, html5, css3, seo, marketing, adobe illustrator, web design responsive, ux, analytics, image manipulation, portuguese, design thinking, market research, advertising, marketing communications, marketing strategy, marketing analytics, experience design, multi-task, photoshop, french",12,0
663015,"javascript, node.js, mysql, redis, php",6,3
640161,"javascript, python, adobe premiere, ilustrator, artificial intelligence, lua, titanium, corona sdk, photoshop, angular, java",6,4
653544,"python, data modeling and systems analysis, data analysis, databases, r programming, java",3,0
666192,"mongodb, asp, scala, web api, front end, cobol, backend development, php, aws, .net",5,2
654555,"tdd, javascript, spring, json, hibernate, soap, mongodb, bitbucket, junit, web services, docker, jira, rest api, microservices, continuous integration, api, integration services, nosql, mockito, oauth2, kotlin, performance optimization, intellij, netflix oss, java, git, aws",6,3
680293,"sql, javascript, spring, postgresql, hibernate, mongodb, docker, spring boot, rest api, jms, my sql, microservices, typescript, redis, kafka, swagger, liquibase, linux, ci/cd automation, angular, java, jquery, aws",7,3
645841,"marketing, business administration, digital marketing, strategic planning, marketing strategy, product management, product owner",11,4
645101,"javascript, wordpress, html5, bootstrap, css3, seo, my sql, php, jquery, git",2,0
648780,"azure, sql server, javascript, html5, css3, github, web api, tfs, ASP.Net MVC, selenium, self-taught, dapper, c#, ASP.Net Core, unit testing, git, .net",8,3
637974,"android, javascript, wordpress, html5, social media, ionic framework, ux, analytics, user experience, user interface, team leadership, product launch: planning and execution, strategic planning, product design, system analysis, teamwork, consulting, team management, layout, mockups, creative solutions, risk forecast, strategic mind, strong communication skills, corel draw, photoshop, jquery",6,0
678114,"wordpress, 3d studio max html5, workflow, adobe dreamweaver, apache tomcat, computer maintenance, photoshop, maintenance printers",11,0
667504,video editing,3,0
